Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,BIS No,BIS SEC,MRP,MFG BY,IMAGE
Olyn 9,DTZ075X,12V DC,700mA,2700K, CRI>90,Φ82*H120mm,6°,9W,AJ/CG,ARAD0975/27/06/W,R-41159492,IS 10322 (PART 5/SEC1):2012,6399,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://i.ibb.co/B2QN5Jpy/Olyn-9-white.png
Olyn 9,DTZ075X,12V DC,700mA,2700K, CRI>90,Φ82*H120mm,6°,9W,AJ/CG,ARAD0975/27/06/B,R-41159492,IS 10322 (PART 5/SEC1):2012,6399,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://i.ibb.co/h1sqkkrV/Olyn-9-black.png
Olyn 9,DTZ075X,12V DC,700mA,3000K, CRI>90,Φ82*H120mm,6°,9W,AJ/CG,ARAD0975/30/06/W,R-41159492,IS 10322 (PART 5/SEC1):2012,6399,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://i.ibb.co/B2QN5Jpy/Olyn-9-white.png
Olyn 9,DTZ075X,12V DC,700mA,3000K, CRI>90,Φ82*H120mm,6°,9W,AJ/CG,ARAD0975/30/06/B,R-41159492,IS 10322 (PART 5/SEC1):2012,6399,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://i.ibb.co/h1sqkkrV/Olyn-9-black.png
Olyn 9,DTZ075X,12V DC,700mA,3500K, CRI>90,Φ82*H120mm,6°,9W,AJ/CG,ARAD0975/35/06/W,R-41159492,IS 10322 (PART 5/SEC1):2012,6399,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://i.ibb.co/B2QN5Jpy/Olyn-9-white.png
Olyn 9,DTZ075X,12V DC,700mA,3500K, CRI>90,Φ82*H120mm,6°,9W,AJ/CG,ARAD0975/35/06/B,R-41159492,IS 10322 (PART 5/SEC1):2012,6399,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://i.ibb.co/h1sqkkrV/Olyn-9-black.png
Olyn 9,DTZ075X,12V DC,700mA,4000K, CRI>90,Φ82*H120mm,6°,9W,AJ/CG,ARAD0975/40/06/W,R-41159492,IS 10322 (PART 5/SEC1):2012,6399,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://i.ibb.co/B2QN5Jpy/Olyn-9-white.png
Olyn 9,DTZ075X,12V DC,700mA,4000K, CRI>90,Φ82*H120mm,6°,9W,AJ/CG,ARAD0975/40/06/B,R-41159492,IS 10322 (PART 5/SEC1):2012,6399,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://i.ibb.co/h1sqkkrV/Olyn-9-black.png
Olyn 9,DTZ075X,12V DC,700mA,5000K, CRI>90,Φ82*H120mm,6°,9W,AJ/CG,ARAD0975/50/06/W,R-41159492,IS 10322 (PART 5/SEC1):2012,6399,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://i.ibb.co/B2QN5Jpy/Olyn-9-white.png
Olyn 9,DTZ075X,12V DC,700mA,5000K, CRI>90,Φ82*H120mm,6°,9W,AJ/CG,ARAD0975/50/06/B,R-41159492,IS 10322 (PART 5/SEC1):2012,6399,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://i.ibb.co/h1sqkkrV/Olyn-9-black.png
