Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,MFG BY,BIS No,BIS SEC,MRP,IMAGE
Anka,AOLZ1054,240V AC,NA,3000K, CRI>80,φ54*115mm,15~60° (Zoomable),10W,AJ/CG,AOLZ1054/30/B/S,,,,22199,https://i.ibb.co/NgDVLkj7/Anka-AOLZ1054.png
Anka,AOLZ1054,240V AC,NA,3000K, CRI>80,φ54*115mm,15~60° (Zoomable),10W,AJ/CG,AOLZ1054/30/G/S,,,,22199,https://i.ibb.co/BKKBNCW7/Anka-Grey.png
Zibal 3,AOLS0242,240V AC,NA,3000K, CRI>80,φ45*90mm, 5°,3W,AJ/CG,AOLS0242/30/5/B/S,,,,7399,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 3,AOLS0242,240V AC,NA,3000K, CRI>80,φ45*90mm, 8°,3W,AJ/CG,AOLS0242/30/8/B/S,,,,7399,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 3,AOLS0242,240V AC,NA,3000K, CRI>80,φ45*90mm, 25°,3W,AJ/CG,AOLS0242/30/25/B/S,,,,7399,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 3,AOLS0242,240V AC,NA,3000K, CRI>80,φ45*90mm, 40°,3W,AJ/CG,AOLS0242/30/40/B/S,,,,7399,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 3,AOLS0242,240V AC,NA,3000K, CRI>80,φ45*90mm, 60°,3W,AJ/CG,AOLS0242/30/60/B/S,,,,7399,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 5.5,AOLS0663,240V AC,NA,3000K, CRI>80,φ45*90mm, 15°,6W,AJ/CG,AOLS0663/30/15/B/S,,,,8749,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 5.5,AOLS0663,240V AC,NA,3000K, CRI>80,φ45*90mm, 30°,6W,AJ/CG,AOLS0663/30/30/B/S,,,,8749,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 5.5,AOLS0663,240V AC,NA,3000K, CRI>80,φ45*90mm, 45°,6W,AJ/CG,AOLS0663/30/45/B/S,,,,8749,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 5.5,AOLS0663,240V AC,NA,3000K, CRI>80,φ45*90mm, 60°,6W,AJ/CG,AOLS0663/30/60/B/S,,,,8749,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 12,AOLS1270,240V AC,NA,3000K, CRI>80,φ65*115mm, 15°,12W,AJ/CG,AOLS1270/30/15/B/S,,,,11199,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 12,AOLS1270,240V AC,NA,3000K, CRI>80,φ65*115mm, 30°,12W,AJ/CG,AOLS1270/30/30/B/S,,,,11199,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 12,AOLS1270,240V AC,NA,3000K, CRI>80,φ65*115mm, 45°,12W,AJ/CG,AOLS1270/30/45/B/S,,,,11199,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 12,AOLS1270,240V AC,NA,3000K, CRI>80,φ65*115mm, 60°,12W,AJ/CG,AOLS1270/30/60/B/S,,,,11199,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 16,AOLS1280,240V AC,NA,3000K, CRI>80, φ75*135mm, 15°,16W,AJ/CG,AOLS1280/30/15/B/S,,,,14799,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 16,AOLS1280,240V AC,NA,3000K, CRI>80, φ75*135mm, 30°,16W,AJ/CG,AOLS1280/30/30/B/S,,,,14799,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 16,AOLS1280,240V AC,NA,3000K, CRI>80, φ75*135mm, 45°,16W,AJ/CG,AOLS1280/30/45/B/S,,,,14799,https://i.ibb.co/0j45CZh0/Zibal.png
Zibal 16,AOLS1280,240V AC,NA,3000K, CRI>80, φ75*135mm, 60°,16W,AJ/CG,AOLS1280/30/60/B/S,,,,14799,https://i.ibb.co/0j45CZh0/Zibal.png
Sabik,AOLS0960,240V AC,NA,3000K, CRI>80, φ60*100mm, 6°,9W,AJ/CG,AOLS0960/30/6/B/S,,,,12399,https://i.ibb.co/HpdZ5NpZ/Sabik.png
