Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,BIS No,BIS SEC,MRP,MFG BY,IMAGE
Demo Profile 20,PF20-01,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/W,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20White
Demo Profile 20,PF20-01,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/B,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Mat%20Black
Demo Profile 20,PF20-01,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/CG,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Champagne%20Gold
Demo Profile 20,PF20-01,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/RG,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Rose%20Gold
Demo Profile 20,PF20-01,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/BR,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Brown
Demo Profile 20,PF20-01,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/COF,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Coffee
Demo Profile 20,PF20-01,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/DGR,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Dark%20Gray
Demo Profile 20,PF20-01,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/BB,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Ballet%20Blue
Demo Profile 20,PF20-01,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/CH,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Chrome
Demo Profile 20,PF20-01,36V,350mA,3000K,90,20 × 12 mm,120°,20W/m,PF20,PF20/CHB,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Profile%2020%20Chrome%20Black
