Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,BIS No,BIS SEC,MRP,MFG BY,IMAGE
Demo Tracklight 15,TL15-01,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/W,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20White
Demo Tracklight 15,TL15-01,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/B,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Mat%20Black
Demo Tracklight 15,TL15-01,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/CG,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Champagne%20Gold
Demo Tracklight 15,TL15-01,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/RG,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Rose%20Gold
Demo Tracklight 15,TL15-01,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/BR,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Brown
Demo Tracklight 15,TL15-01,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/COF,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Coffee
Demo Tracklight 15,TL15-01,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/DGR,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Dark%20Gray
Demo Tracklight 15,TL15-01,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/BB,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Ballet%20Blue
Demo Tracklight 15,TL15-01,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/CH,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Chrome
Demo Tracklight 15,TL15-01,36V,350mA,3000K,90,Track Mounted,24°,15W,TL15,TL15/CHB,R-41067127,IS 10322 (PART 5/SEC 1) : 2012,"₹ 4,999",KEUS Automation Pvt. Ltd.,https://placehold.co/800x800/ffffff/222222?text=Demo%20Tracklight%2015%20Chrome%20Black
